NDVI_1,LAI_1
0.32692,0.35332
0.3376,0.55079
0.3673,0.54888
0.04504,0.09483
0.33036,0.46218
0.1484,0.04929
0.03228,0.07461
0.15954,0.12263
0.20163,0.16642
-0.06897,-0.18958
0.03902,0.0714
0.65694,2.20501
0.03209,0.04323
0.13641,0.05852
0.0406,0.07476
0.43981,1.12371
0.03725,0.02668
0.10502,0.01126
0.0297,0.02428
0.04089,0.03734
0.54926,1.61403
0.27296,0.31629
0.05795,-0.00868
0.26228,0.24492
0.14187,0.00777
0.25341,0.26967
0.16512,0.12594
0.07577,-0.09904
0.18605,-0.04584
0.49442,1.2523
0.24451,0.24052
0.59876,1.23272
0.19862,0.00064
0.0313,0.08238
0.40422,0.83979
0.05909,0.09933
0.03907,0.0936
0.03169,0.08272
0.30484,0.45973
0.26283,0.27026
0.39147,0.76875
0.52783,1.29273
0.04364,0.09886
0.31094,0.39271
0.19592,0.0865
0.48883,1.18863
0.05951,-0.08296
0.59203,1.81759
0.03485,0.01931
0.66866,1.87799
0.20502,0.31516
0.61435,1.89222
0.51791,1.22047
0.38768,0.80318
0.63861,2.44887
0.20897,0.10735
0.42291,1.20838
0.49023,1.62429
0.0929,0.01168
0.55954,1.8734
0.12998,-0.05892
0.05712,0.06459
0.19684,0.25087
0.58921,1.82517
0.03661,-0.03112
0.66986,1.96945
0.03357,0.05549
0.04062,-0.04631
0.03879,0.09071
0.35575,0.71
0.04503,0.07318
0.07447,-0.14354
0.07822,-0.22155
0.26203,0.24656
0.01944,0.02508
0.15647,0.07535
0.03698,0.06302
0.04211,0.06234
0.48379,1.04062
0.49825,1.721
0.60728,1.7924
0.0372,0.0879
0.03877,0.08992
0.49025,1.35838
0.03969,0.00738
0.68498,2.79388
0.0847,-0.21528
0.65176,2.14986
0.63336,2.35488
0.27094,0.32258
0.05399,-0.13889
0.44147,0.902
0.61118,2.0263
0.0568,-0.00212
0.17935,0.10594
0.02864,0.03486
0.34924,0.65489
0.36659,0.45211
0.14452,-0.00161
0.28403,0.28107
