NDVI_1,LAI_1
0.17441,0.102
-0.02096,-0.33302
0.74264,2.30978
0.03036,0.02521
0.37454,0.58403
0.07606,0.21569
0.18203,0.16729
0.46933,1.40631
0.04756,-0.01995
0.53681,1.65175
0.18367,0.08557
0.01994,-0.04355
0.30424,0.92016
0.11816,-0.12322
0.26894,0.29586
0.1174,-0.02738
0.08356,-0.1048
0.04419,0.07859
0.15765,-0.00996
0.56043,1.89156
0.39032,0.66629
0.2867,0.44713
0.04578,-0.26373
0.02669,-0.13715
0.46435,1.2984
0.44268,1.12008
0.03856,0.10054
0.03674,0.02921
0.6298,2.06717
0.02749,0.06346
0.18692,0.14109
0.26601,0.2755
0.25593,0.30013
0.10857,0.12438
0.052,0.09702
0.02796,-0.03299
0.56795,1.61619
0.44288,1.25115
0.4147,0.96003
0.03435,-0.11509
0.34118,0.51226
0.30793,0.25929
0.10977,0.07861
0.60512,1.89857
0.10923,-0.01761
0.0473,0.04908
0.61759,1.97451
0.66562,2.58917
0.61404,1.90227
0.56912,1.79892
0.2543,0.60458
0.63486,2.26582
0.39858,0.99965
0.29559,0.37247
0.54143,1.50477
0.58946,1.96758
0.2826,0.3741
0.14908,0.08799
0.19269,0.01084
0.10136,0.04111
0.12437,-0.09201
0.18635,0.11966
0.60386,2.03635
0.23077,0.30266
0.03635,-0.10861
0.02504,0.09011
0.03492,0.05554
0.04662,0.05091
0.13001,0.07495
0.04053,0.05352
0.02166,0.04571
-0.05577,-0.18684
0.04449,0.10394
0.03577,0.0758
0.60984,2.00102
0.10404,-0.17238
0.49891,1.70586
0.02562,0.00118
0.62054,2.07847
0.23769,0.28221
0.586,1.74098
0.06096,0.04602
0.36199,1.18071
0.03258,0.01564
0.2112,0.13571
0.10904,0.06404
0.34763,0.79439
0.14546,0.15564
0.56925,2.04233
0.34936,0.60329
0.23694,0.11794
0.26774,0.17501
0.20413,0.05611
0.45515,1.51456
0.61697,2.15302
0.03973,0.09016
0.19077,0.17365
0.04769,-0.11899
0.07746,-0.02696
0.04928,-0.00395
-0.09589,-0.27549
0.57501,1.55298
0.51308,1.05299
0.24817,0.29086
0.13579,-0.1156
0.50843,1.54733
0.29546,0.28907
0.22605,0.30377
0.64492,2.57746
0.56354,1.57629
0.05198,0.08212
-0.04328,-0.20889
0.42224,0.98995
0.04065,-0.0386
0.39197,1.04504
-0.03439,-0.17531
0.01022,-0.02293
0.50207,1.29456
0.43096,0.89257
0.5601,1.49835
0.04063,0.09115
0.26756,0.14319
0.02339,-0.19088
0.02129,0.09279
0.0443,0.08458
0.13695,0.06329
0.59935,1.91147
0.04003,0.09398
-0.0362,-0.16071
0.46165,1.24024
0.26469,0.2276
0.17758,0.01993
0.27182,0.3137
0.59768,2.21129
0.02904,-0.00341
0.31465,0.39175
0.57347,1.77358
0.48105,1.11776
0.45277,0.92747
0.08322,-0.17069
0.03116,0.08476
0.28612,0.98552
0.48268,1.54185
-0.06184,-0.15715
0.6585,3.0516
0.29142,0.52733
0.38093,1.0962
0.052,-0.05413
0.42965,0.85498
0.14036,0.07524
0.05013,-0.14263
0.28613,0.66468
0.02627,-0.32975
0.12023,-0.02361
0.10076,-0.05176
0.28929,0.24128
0.37371,0.61582
0.0378,0.04686
0.02744,0.02918
0.48874,1.34656
0.22004,0.08253
0.41965,1.04593
0.56587,1.76071
0.43793,1.19255
0.64139,1.8535
0.25312,0.1763
0.03434,0.0907
0.03023,-0.06976
0.6575,2.64358
0.44908,0.48511
0.48103,1.22539
0.21756,0.09595
0.05082,0.10049
0.30148,0.32115
0.33274,1.0811
0.17897,0.14465
0.06517,0.03872
0.02612,0.06953
0.33025,0.46081
0.10585,0.12042
0.39573,1.02832
0.29059,0.2916
0.04212,0.05038
0.1224,-0.13811
0.09175,-0.1427
-0.04828,-0.16022
0.63825,2.0322
0.1451,0.1103
0.03331,0.03512
0.24292,0.17468
0.59306,1.90735
0.07868,0.03902
0.15335,-0.03177
0.4992,1.2668
0.01086,-0.16481
0.56046,1.72286
0.60541,2.0088
0.50322,1.23075
0.17626,0.06187
0.40009,0.81091
