NDVI_1,LAI_1
0.38772,0.95603
0.10072,0.06436
0.04191,0.07891
0.29743,0.86776
0.50313,1.55927
0.04467,-0.10029
0.41808,0.9828
0.48247,1.27252
0.03001,-0.02172
0.03131,0.05511
0.25471,0.34119
0.58399,1.68871
0.04892,-0.09329
0.45242,1.03731
0.44333,1.02192
0.38807,0.7922
0.0805,-0.12856
0.15009,0.08824
0.13636,0.08996
0.03009,0.07822
0.09257,-0.02626
0.25459,0.29622
0.06193,-0.09478
0.64053,2.20067
0.37698,0.63029
0.3396,0.53962
0.27782,0.21197
0.02152,-0.10569
0.3238,0.44773
0.37862,0.69015
0.04768,-0.11124
0.25213,-0.04595
0.21297,0.16516
0.04511,0.05017
0.03924,0.07577
0.21057,0.18621
0.04229,-0.02016
0.56004,1.81812
0.03283,0.0338
0.02823,0.05181
0.42519,0.82235
-0.0713,-0.19641
0.02722,0.0716
0.62972,2.26243
0.41876,0.89076
0.03134,0.05483
0.27744,0.4253
0.50282,1.08829
0.66779,1.94525
0.63888,2.25625
0.34091,0.87647
0.09201,0.0779
0.55878,1.50675
0.29679,0.42973
0.05125,-0.08427
-0.0595,-0.17694
0.06507,0.08632
0.20547,0.18534
0.55216,1.44291
0.60303,2.11289
0.08719,-0.19406
0.18319,0.12895
-0.05126,-0.197
0.55399,1.62943
0.32034,0.7818
0.62353,1.87074
0.34682,0.77332
0.03126,0.06602
0.61043,1.91815
0.20745,-0.03124
0.6648,2.54429
0.04313,0.08038
0.04751,-0.26273
0.03025,-0.01329
0.33662,0.69763
0.33227,0.49521
0.61706,1.85981
0.06267,-0.13512
0.03704,0.08892
-0.03425,-0.15842
0.18652,0.15454
0.14888,0.1591
-0.06699,-0.19877
0.45138,1.48095
0.17493,0.10961
0.03518,0.02789
0.52454,1.39629
0.36499,0.58838
0.34505,0.74849
0.39723,0.77362
0.51313,1.49333
0.4797,1.24821
-0.04902,-0.20652
0.3466,0.58658
0.47879,1.2678
0.0818,-0.02933
0.04085,0.10432
0.31281,0.34303
0.09581,0.09849
0.1117,0.08606
0.22987,0.24568
0.01784,0.05407
0.30976,0.43113
0.11438,0.02986
0.02921,-0.2211
0.61254,2.30347
0.50852,1.39372
0.48636,1.22581
0.56522,1.62073
0.17773,0.18112
0.05761,-0.04462
0.06591,0.03258
0.61778,2.24076
0.3806,0.72697
0.04417,0.09037
0.03417,0.05901
0.03179,0.03788
0.05752,-0.08423
0.15982,-0.06098
0.08039,-0.00338
0.10193,-0.12286
0.09285,0.10366
0.36867,0.51521
0.30621,0.33644
0.36223,0.80148
0.19361,0.14541
0.14406,-0.0171
0.03784,0.08992
0.45794,1.05282
0.04036,0.08431
0.35122,0.24614
0.03267,0.08764
0.05837,0.07413
0.43685,0.8949
0.04354,0.0842
0.14994,-0.01841
0.04111,0.06535
0.06716,-0.176
0.18446,-0.04845
0.0333,0.06778
0.32478,0.43211
0.05558,0.0902
0.03474,0.08893
0.05987,0.04548
0.07426,-0.01939
0.48426,1.33804
0.04405,0.07926
0.17232,0.16275
0.03558,0.09174
0.02946,0.08826
0.18717,0.32261
0.04682,-0.31251
0.45577,1.09654
0.49663,1.36078
0.03768,0.08753
0.05805,0.09908
0.2821,0.39411
0.02666,0.06229
0.03039,-0.13244
0.65947,2.11318
0.20316,0.00506
0.42885,0.86791
